Postcode,crime index
3000,18
3002,3
3003,3
3004,5
3006,4
3008,5
3011,2
3012,1
3013,1
3015,1
3016,1
3018,1
3019,2
3020,2
3021,2
3022,2
3023,1
3024,1
3025,2
3026,2
3027,1
3028,1
3029,1
3030,1
3031,2
3032,1
3033,1
3034,1
3036,1
3037,1
3038,1
3039,1
3040,1
3041,1
3042,1
3043,1
3044,1
3045,2
3046,2
3047,4
3048,2
3049,1
3051,2
3052,4
3053,3
3054,1
3055,1
3056,1
3057,1
3058,1
3059,1
3060,2
3061,4
3062,2
3063,2
3064,1
3065,4
3066,3
3067,2
3068,1
3070,1
3071,1
3072,2
3073,1
3074,2
3075,1
3076,2
3078,1
3079,1
3081,3
3082,1
3083,1
3084,1
3085,1
3087,1
3088,1
3089,1
3090,0
3091,0
3093,1
3094,0
3095,1
3096,0
3097,0
3099,1
3101,1
3102,0
3103,0
3104,0
3105,1
3106,0
3107,0
3108,1
3109,1
3111,0
3113,0
3114,0
3115,0
3116,1
3121,2
3122,1
3123,0
3124,0
3125,1
3126,0
3127,0
3128,2
3129,1
3130,1
3131,1
3132,1
3133,0
3134,1
3135,1
3136,1
3137,1
3138,1
3139,1
3140,1
3141,1
3142,1
3143,1
3144,1
3145,1
3146,0
3147,1
3148,2
3149,1
3150,1
3151,1
3152,1
3153,1
3154,1
3155,1
3156,1
3158,1
3159,1
3160,1
3161,0
3162,1
3163,1
3165,1
3166,1
3167,1
3168,3
3169,1
3170,1
3171,2
3172,1
3173,1
3174,2
3175,4
3177,4
3178,1
3179,1
3180,1
3181,2
3182,3
3183,1
3184,1
3185,1
3186,1
3187,0
3188,1
3189,2
3190,1
3191,1
3192,1
3193,0
3194,1
3195,1
3196,1
3197,1
3198,2
3199,2
3200,3
3201,1
3202,1
3204,1
3205,3
3206,1
3207,1
3211,2
3212,1
3213,1
3214,4
3215,1
3216,1
3217,0
3218,1
3219,2
3220,3
3221,0
3222,0
3223,1
3224,1
3225,0
3226,0
3227,0
3228,0
3230,1
3231,1
3232,2
3233,2
3234,2
3235,1
3236,0
3237,1
3238,1
3239,1
3240,1
3241,1
3242,1
3243,1
3249,1
3250,2
3251,1
3254,1
3260,1
3264,1
3265,1
3266,1
3267,1
3268,1
3269,1
3270,1
3271,1
3272,1
3273,2
3274,1
3275,0
3276,0
3277,1
3278,1
3279,1
3280,2
3281,1
3282,1
3283,1
3284,1
3285,1
3286,1
3287,1
3289,1
3292,1
3293,1
3294,1
3300,2
3301,0
3302,1
3303,1
3304,1
3305,2
3309,1
3310,1
3311,1
3312,1
3314,0
3315,1
3317,0
3318,1
3319,1
3321,0
3322,2
3323,1
3324,1
3325,1
3328,0
3329,0
3330,2
3331,0
3332,0
3333,1
3334,1
3335,2
3336,1
3337,2
3338,2
3340,1
3341,1
3342,1
3345,1
3350,2
3351,1
3352,1
3355,2
3356,2
3357,1
3358,0
3360,0
3361,1
3363,1
3364,0
3370,1
3371,1
3373,1
3374,2
3375,1
3377,3
3378,0
3379,1
3380,3
3381,1
3384,1
3385,1
3387,1
3388,1
3390,2
3391,3
3392,1
3393,2
3395,2
3396,1
3400,3
3401,1
3407,1
3409,1
3412,2
3413,1
3414,2
3415,1
3418,1
3419,1
3420,1
3423,2
3424,1
3427,1
3428,2
3429,1
3430,1
3431,1
3432,1
3433,1
3434,1
3435,1
3437,1
3438,0
3440,1
3441,0
3442,1
3444,1
3446,1
3447,1
3448,1
3450,1
3451,1
3453,1
3458,1
3460,1
3461,1
3462,1
3463,1
3464,1
3465,2
3467,1
3468,1
3469,1
3472,1
3475,1
3477,1
3478,2
3480,1
3482,2
3483,0
3485,1
3487,2
3488,1
3489,2
3490,1
3491,2
3494,2
3496,1
3498,1
3500,3
3501,1
3505,2
3506,4
3507,1
3509,1
3512,1
3515,0
3516,1
3517,1
3518,2
3520,4
3521,1
3522,1
3523,1
3525,1
3527,1
3529,0
3530,1
3531,1
3533,1
3537,1
3540,2
3542,1
3544,1
3546,2
3549,4
3550,2
3551,1
3555,1
3556,2
3557,1
3558,1
3559,1
3561,1
3562,1
3563,1
3564,2
3565,0
3566,1
3567,1
3568,1
3570,1
3571,1
3572,0
3573,1
3575,1
3576,0
3579,2
3580,1
3581,1
3583,3
3584,1
3585,3
3586,1
3588,1
3589,2
3590,1
3591,1
3594,1
3595,2
3596,1
3597,1
3599,1
3607,2
3608,1
3610,2
3612,1
3614,1
3616,1
3617,1
3618,1
3620,1
3621,1
3622,1
3623,1
3624,2
3629,2
3630,3
3631,1
3633,1
3634,1
3635,1
3636,1
3637,1
3638,1
3639,2
3640,1
3641,1
3644,1
3646,1
3649,1
3658,2
3659,2
3660,4
3662,1
3663,1
3664,1
3665,1
3666,1
3669,1
3670,1
3672,2
3673,1
3675,1
3677,2
3678,1
3682,1
3683,1
3685,1
3687,1
3688,1
3690,2
3691,0
3695,1
3697,0
3698,0
3699,1
3700,1
3701,1
3704,3
3705,0
3707,1
3708,1
3709,0
3711,1
3712,2
3713,2
3714,1
3715,1
3717,1
3718,1
3719,1
3720,1
3722,1
3723,1
3725,1
3726,1
3727,1
3728,1
3730,1
3732,1
3733,0
3735,0
3737,1
3738,1
3739,0
3740,1
3741,1
3744,1
3746,1
3747,1
3749,0
3750,1
3751,2
3752,1
3753,1
3754,1
3755,1
3756,2
3757,1
3758,1
3759,0
3760,0
3761,1
3762,2
3763,1
3764,1
3765,1
3766,0
3767,1
3770,1
3775,1
3777,1
3778,1
3779,1
3781,1
3782,1
3783,1
3785,3
3786,0
3787,0
3788,1
3789,1
3791,0
3792,0
3793,1
3795,1
3796,1
3797,1
3799,1
3802,1
3803,2
3804,1
3805,2
3806,1
3807,1
3808,0
3809,1
3810,2
3812,1
3813,1
3814,1
3815,1
3816,2
3818,1
3820,2
3821,1
3822,1
3823,1
3824,1
3825,3
3831,1
3832,1
3833,3
3835,1
3840,5
3842,3
3844,3
3847,2
3850,3
3851,1
3852,0
3854,1
3856,1
3857,1
3858,2
3859,1
3860,1
3862,1
3864,1
3865,1
3869,1
3870,1
3871,1
3873,2
3874,2
3875,3
3878,1
3880,1
3882,1
3885,1
3886,1
3887,6
3888,2
3889,2
3890,3
3891,0
3892,1
3893,1
3895,0
3896,1
3898,2
3900,1
3902,1
3903,1
3904,1
3909,3
3910,1
3911,1
3912,1
3913,1
3915,2
3916,0
3918,1
3919,1
3920,1
3922,2
3923,1
3925,1
3926,0
3927,0
3928,0
3929,0
3930,0
3931,1
3933,1
3934,0
3936,1
3937,0
3938,0
3939,1
3940,1
3941,1
3942,0
3943,1
3944,1
3945,1
3946,1
3950,2
3951,1
3953,1
3954,0
3956,1
3957,1
3958,1
3959,1
3960,1
3962,1
3964,1
3965,1
3966,1
3967,1
3971,2
3975,1
3976,2
3977,1
3978,1
3979,1
3980,1
3981,1
3984,1
3987,1
3988,1
3990,0
3991,2
3992,1
3995,2
3996,1
